postcode,city,state,state_code
21800,Ajil,Terengganu,TRG
21810,Ajil,Terengganu,TRG
21820,Ajil,Terengganu,TRG
23400,Al Muktatfi Billah Shah,Terengganu,TRG
24050,Ayer Puteh,Terengganu,TRG
23200,Bukit Besi,Terengganu,TRG
21400,Bukit Payong,Terengganu,TRG
24060,Ceneh,Terengganu,TRG
21450,Chalok,Terengganu,TRG
24000,Cukai,Terengganu,TRG
24007,Cukai,Terengganu,TRG
24009,Cukai,Terengganu,TRG
24010,Cukai,Terengganu,TRG
24020,Cukai,Terengganu,TRG
24030,Cukai,Terengganu,TRG
24040,Cukai,Terengganu,TRG
23000,Dungun,Terengganu,TRG
23007,Dungun,Terengganu,TRG
23009,Dungun,Terengganu,TRG
23050,Dungun,Terengganu,TRG
22000,Jerteh,Terengganu,TRG
22010,Jerteh,Terengganu,TRG
22020,Jerteh,Terengganu,TRG
22030,Jerteh,Terengganu,TRG
22040,Jerteh,Terengganu,TRG
22200,Kampung Raja,Terengganu,TRG
24200,Kemasek,Terengganu,TRG
24207,Kemasek,Terengganu,TRG
24209,Kemasek,Terengganu,TRG
24210,Kemasek,Terengganu,TRG
24220,Kemasek,Terengganu,TRG
24300,Kerteh,Terengganu,TRG
23300,Ketengah Jaya,Terengganu,TRG
23345,Ketengah Jaya,Terengganu,TRG
24100,Kijal,Terengganu,TRG
24107,Kijal,Terengganu,TRG
24109,Kijal,Terengganu,TRG
21700,Kuala Berang,Terengganu,TRG
22300,Kuala Besut,Terengganu,TRG
22307,Kuala Besut,Terengganu,TRG
22309,Kuala Besut,Terengganu,TRG
20000,Kuala Terengganu,Terengganu,TRG
20050,Kuala Terengganu,Terengganu,TRG
20080,Kuala Terengganu,Terengganu,TRG
20100,Kuala Terengganu,Terengganu,TRG
20200,Kuala Terengganu,Terengganu,TRG
20300,Kuala Terengganu,Terengganu,TRG
20400,Kuala Terengganu,Terengganu,TRG
20500,Kuala Terengganu,Terengganu,TRG
20502,Kuala Terengganu,Terengganu,TRG
20503,Kuala Terengganu,Terengganu,TRG
20504,Kuala Terengganu,Terengganu,TRG
20505,Kuala Terengganu,Terengganu,TRG
20506,Kuala Terengganu,Terengganu,TRG
20508,Kuala Terengganu,Terengganu,TRG
20512,Kuala Terengganu,Terengganu,TRG
20514,Kuala Terengganu,Terengganu,TRG
20516,Kuala Terengganu,Terengganu,TRG
20517,Kuala Terengganu,Terengganu,TRG
20518,Kuala Terengganu,Terengganu,TRG
20519,Kuala Terengganu,Terengganu,TRG
20520,Kuala Terengganu,Terengganu,TRG
20532,Kuala Terengganu,Terengganu,TRG
20534,Kuala Terengganu,Terengganu,TRG
20536,Kuala Terengganu,Terengganu,TRG
20538,Kuala Terengganu,Terengganu,TRG
20540,Kuala Terengganu,Terengganu,TRG
20542,Kuala Terengganu,Terengganu,TRG
20546,Kuala Terengganu,Terengganu,TRG
20548,Kuala Terengganu,Terengganu,TRG
20550,Kuala Terengganu,Terengganu,TRG
20551,Kuala Terengganu,Terengganu,TRG
20552,Kuala Terengganu,Terengganu,TRG
20554,Kuala Terengganu,Terengganu,TRG
20556,Kuala Terengganu,Terengganu,TRG
20560,Kuala Terengganu,Terengganu,TRG
20564,Kuala Terengganu,Terengganu,TRG
20566,Kuala Terengganu,Terengganu,TRG
20568,Kuala Terengganu,Terengganu,TRG
20570,Kuala Terengganu,Terengganu,TRG
20572,Kuala Terengganu,Terengganu,TRG
20576,Kuala Terengganu,Terengganu,TRG
20578,Kuala Terengganu,Terengganu,TRG
20582,Kuala Terengganu,Terengganu,TRG
20586,Kuala Terengganu,Terengganu,TRG
20590,Kuala Terengganu,Terengganu,TRG
20592,Kuala Terengganu,Terengganu,TRG
20596,Kuala Terengganu,Terengganu,TRG
20600,Kuala Terengganu,Terengganu,TRG
20604,Kuala Terengganu,Terengganu,TRG
20606,Kuala Terengganu,Terengganu,TRG
20608,Kuala Terengganu,Terengganu,TRG
20609,Kuala Terengganu,Terengganu,TRG
20610,Kuala Terengganu,Terengganu,TRG
20612,Kuala Terengganu,Terengganu,TRG
20614,Kuala Terengganu,Terengganu,TRG
20618,Kuala Terengganu,Terengganu,TRG
20620,Kuala Terengganu,Terengganu,TRG
20622,Kuala Terengganu,Terengganu,TRG
20626,Kuala Terengganu,Terengganu,TRG
20628,Kuala Terengganu,Terengganu,TRG
20630,Kuala Terengganu,Terengganu,TRG
20632,Kuala Terengganu,Terengganu,TRG
20646,Kuala Terengganu,Terengganu,TRG
20648,Kuala Terengganu,Terengganu,TRG
20656,Kuala Terengganu,Terengganu,TRG
20658,Kuala Terengganu,Terengganu,TRG
20660,Kuala Terengganu,Terengganu,TRG
20661,Kuala Terengganu,Terengganu,TRG
20662,Kuala Terengganu,Terengganu,TRG
20664,Kuala Terengganu,Terengganu,TRG
20668,Kuala Terengganu,Terengganu,TRG
20670,Kuala Terengganu,Terengganu,TRG
20672,Kuala Terengganu,Terengganu,TRG
20673,Kuala Terengganu,Terengganu,TRG
20674,Kuala Terengganu,Terengganu,TRG
20676,Kuala Terengganu,Terengganu,TRG
20680,Kuala Terengganu,Terengganu,TRG
20690,Kuala Terengganu,Terengganu,TRG
20698,Kuala Terengganu,Terengganu,TRG
20700,Kuala Terengganu,Terengganu,TRG
20710,Kuala Terengganu,Terengganu,TRG
20720,Kuala Terengganu,Terengganu,TRG
20900,Kuala Terengganu,Terengganu,TRG
20902,Kuala Terengganu,Terengganu,TRG
20904,Kuala Terengganu,Terengganu,TRG
20906,Kuala Terengganu,Terengganu,TRG
20908,Kuala Terengganu,Terengganu,TRG
20910,Kuala Terengganu,Terengganu,TRG
20912,Kuala Terengganu,Terengganu,TRG
20914,Kuala Terengganu,Terengganu,TRG
20916,Kuala Terengganu,Terengganu,TRG
20918,Kuala Terengganu,Terengganu,TRG
20920,Kuala Terengganu,Terengganu,TRG
20922,Kuala Terengganu,Terengganu,TRG
20924,Kuala Terengganu,Terengganu,TRG
20926,Kuala Terengganu,Terengganu,TRG
20928,Kuala Terengganu,Terengganu,TRG
20930,Kuala Terengganu,Terengganu,TRG
20990,Kuala Terengganu,Terengganu,TRG
20999,Kuala Terengganu,Terengganu,TRG
21000,Kuala Terengganu,Terengganu,TRG
21009,Kuala Terengganu,Terengganu,TRG
21010,Kuala Terengganu,Terengganu,TRG
21020,Kuala Terengganu,Terengganu,TRG
21030,Kuala Terengganu,Terengganu,TRG
21040,Kuala Terengganu,Terengganu,TRG
21050,Kuala Terengganu,Terengganu,TRG
21060,Kuala Terengganu,Terengganu,TRG
21070,Kuala Terengganu,Terengganu,TRG
21080,Kuala Terengganu,Terengganu,TRG
21090,Kuala Terengganu,Terengganu,TRG
21100,Kuala Terengganu,Terengganu,TRG
21109,Kuala Terengganu,Terengganu,TRG
21200,Kuala Terengganu,Terengganu,TRG
21209,Kuala Terengganu,Terengganu,TRG
21210,Kuala Terengganu,Terengganu,TRG
21220,Kuala Terengganu,Terengganu,TRG
21300,Kuala Terengganu,Terengganu,TRG
21309,Kuala Terengganu,Terengganu,TRG
21600,Marang,Terengganu,TRG
21610,Marang,Terengganu,TRG
23100,Paka,Terengganu,TRG
22100,Permaisuri,Terengganu,TRG
22107,Permaisuri,Terengganu,TRG
22109,Permaisuri,Terengganu,TRG
22110,Permaisuri,Terengganu,TRG
22120,Permaisuri,Terengganu,TRG
21500,Sungai Tong,Terengganu,TRG
